COUNTIES INCLUDED IN 2017 LOCALITIES. (ALPHABETICALLY BY STATE AND LOCALITY NAME WITHIN STATE)					
					
Carrier Number	Locality Number	State 	Fee Schedule Area 	Counties	
					
10102	00	ALABAMA 	STATEWIDE 	ALL COUNTIES 	
					
02102	01	ALASKA 	STATEWIDE 	ALL COUNTIES 	
					
03102	00	ARIZONA 	STATEWIDE 	ALL COUNTIES 	
					
07102	13	ARKANSAS 	STATEWIDE 	ALL COUNTIES 	
					
01182	26	CALIFORNIA 	LOS ANGELES-LONG BEACH-ANAHEIM (ORANGE CNTY)	ORANGE 	
01182	18		LOS ANGELES-LONG BEACH-ANAHEIM (LOS ANGELES CNTY)	LOS ANGELES 	
01112	52		SAN FRANCISCO-OAKLAND-HAYWARD (MARIN CNTY)	MARIN	
01112	07		OAKLAND/BERKLEY	ALAMEDA AND CONTRA COSTA	
01112	05		SAN FRANCISCO	SAN FRANCISCO 	
01112	06		SAN MATEO	SAN MATEO 	
01112	09		SANTA CLARA	SANTA CLARA 	
01112	51		NAPA	NAPA	
01112	53		VALLEJO-FAIRFIELD	SOLANO	
01112	54		BAKERSFIELD	KERN	
01112	55		CHICO	BUTTE	
01112	56		FRESNO	FRESNO	
01112	57		HANFORD-CORCORAN	KINGS	
01112	58		MADERA	MADERA	
01112	59		MERCED	MERCED	
01112	60		MODESTO	STANISLAUS	
01112	61		REDDING	SHASTA	
01112	62		RIVERSIDE-SAN BERNARDINO-ONTARIO	"SAN BERNARDINO, RIVERSIDE"	
01112	63		SACRAMENTO--ROSEVILLE--ARDEN-ARCADE	"SACRAMENTO, PLACER, YOLO, EL DORADO"	
01112	64		SALINAS	MONTEREY	
01112	65		SAN JOSE-SUNNYVALE-SANTA CLARA (SAN BENITO CNTY)	SAN BENITO	
01112	66		SANTA CRUZ-WATSONVILLE	SANTA CRUZ	
01112	67		SANTA ROSA	SONOMA	
01112	68		STOCKTON-LODI	SAN JOAQUIN	
01112	69		VISALIA-PORTERVILLE	TULARE	
01112	70		YUBA CITY	"SUTTER, YUBA"	
01182	71		EL CENTRO	IMPERIAL	
01182	72		SAN DIEGO-CARLSBAD	SAN DIEGO	
01182	73		SAN LUIS OBISPO-PASO ROBLES-ARROYO GRANDE	SAN LUIS OBISPO	
